Rank,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary
107,"Harris, Demetrius ARI TE",5,0.357,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,1.6,0,0,FA,12,0
108,"Carrier, Derek LVR TE",4.6,0.92,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,8,0
109,"Stocker, Luke MIN TE",4.4,0.367,0,0,0,0,0,0,0,2.4,2,0,0,0,0,0,0,0,0,0,FA,7,0
110,"Rodgers, Richard PHI TE",4.2,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,FA,14,2
111,"Rader, Kevin PIT TE",3.6,0.6,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,2.4,0,0,FA,7,0
112,"Wolf, Ethan NOS TE",3.6,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,FA,6,0
113,"Hopkins, Brycen LAR TE",2.8,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,FA,11,0
114,"Mundt, Johnny LAR TE",2.8,0.467,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,11,0
115,"Long, Hunter MIA TE",2.6,0.371,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,FA,14,0
116,"Tomlinson, Eric BAL TE",2.4,0.141,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,FA,8,0
117,"Boyle, Nick BAL TE",1.4,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,FA,8,1
118,"Daniels, Darrell ARI TE",1,0.067,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FA,12,0
119,"Yelder, Deon ARI TE",1,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FA,9,0
120,"Helm, Daniel ATL TE",0.8,0.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,FA,8,0
121,"Asiasi, Devin NEP TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,14,0
122,"Beck, Andrew DEN TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,11,0
123,"Berry, Rashod DET TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,9,0
124,"Bowers, Nick LVR TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,8,0
125,"Bushman, Matt KCC TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,8,0
126,"Dillon, Brandon NYJ TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,7,0
127,"Ellefson, Ben MIN TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,7,0
128,"Forristall, Miller CLE TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,13,0
129,"Harris, Jacob LAR TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,11,0
130,"Hemingway, Temarrick FA TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,9,0
131,"Holtz, J.P. CHI TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,10,0
132,"Hudson, Tanner SFO TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,6,0
133,"Izzo, Ryan TEN TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,13,0
134,"LaCosse, Matt FA TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,14,0
135,"Pinkney, Jared DET TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,9,0
136,"Poljan, Tony BAL TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,8,0
137,"Quessenberry, Paul HOU TE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,10,0
