Rank,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary
81,"Barber, Peyton LVR RB",52.42,5.242,0,4.5,23.86,0.1,0,0,0,0,0,0,0.4,0,0.82,3.88,6.32,9.2,3.34,0,FA,8,0
82,"Carson, Chris SEA RB",52.24,13.06,14.36,16.4,16.52,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,9,0
83,"Hyde, Carlos JAC RB",50.9,4.242,8.54,0.9,5.2,0,1.8,0,0,13.5,8.26,1.1,0,2.2,7.64,1.76,0,0,0,0,FA,7,0
84,"Hasty, JaMycal SFO RB",49.02,4.456,9.3,9.66,0,0,0,0,4.3,6.34,3.56,0,0,0,0,3.1,2.38,4.06,1.46,4.86,Butchers,6,21
85,"Breida, Matt BUF RB",46.12,5.124,0.8,0,0,0,0,0,0,0,0,18.12,8.66,15.14,1.7,1.5,0.2,0,0,0,FA,7,0
86,"Ahmed, Salvon MIA RB",45.02,3.752,5.54,2.3,0,3.32,4.26,5.8,8.46,4.36,1,2.74,0,4.14,3.1,0,0,0,0,0,FA,14,0
87,"Williams, Ty'Son BAL RB",43.94,3.38,19.54,10.56,2.7,0,4.4,0,6.04,0,0,0,0,0.2,0,0,0,0,0,0.5,FA,8,0
88,"Bell, Le'Veon FA RB",41.3,5.162,0,0,0,1.5,0,8.6,1.34,0,11.9,0.4,0,0,0,0,0,0.1,9.1,8.36,FA,9,0
89,"Reynolds, Craig DET RB",40.32,8.064,0,0,0,0,0,0,0,0,0,0,0,0,0,12.96,15.1,9.02,2.74,0.5,FA,9,0
90,"Freeman, Royce HOU RB",39.82,2.655,0,0,3.98,1.5,1.96,0.4,2.76,3.1,0,0,0,0,3.56,13.76,1.1,4.6,3.1,0,FA,10,0
91,"Vaughn, Ke'Shawn TBB RB",39.76,3.313,0,0,0,0,0,0,3.2,0,0,0,0.7,0,0,0,2.2,13.7,7.14,12.82,FA,9,0
92,"McKinnon, Jerick KCC RB",39.02,3.002,0,2.74,0,2,3.38,2.6,3.72,0,5.66,4.36,0,0,0,0,0,0,0,14.56,FA,12,0
93,"Penny, Elijhaa NYG RB",35.6,2.094,0,0.7,0.8,0,0.5,8.46,3.3,3.06,3.72,0,0,0,0,9.88,0,5.18,0,0,FA,10,0
94,"Benjamin, Eno ARI RB",32.92,3.658,0,0,0,0,0,0,0.9,0,10.8,4.8,3.4,0,2.72,0,0,0,0.5,9.8,FA,12,0
95,"Ham, C.J. MIN RB",32.6,1.918,2.44,0,0.4,0.2,2.94,3.1,0,2.08,4.82,3.58,0.1,3.06,3.54,0,0.98,3.08,0.66,1.62,FA,7,0
96,"Sermon, Trey SFO RB",32.46,3.607,0,0.9,11.58,10.8,0.8,0,0,0,0,0,8.38,0,0,0,0,0,0,0,FA,6,0
97,"White, James NEP RB",31.84,10.613,12.44,18.7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fonzi - IR,14,2
98,"Clement, Corey DAL RB",30.94,1.82,0,0,0.3,0,0,0,0,0,0,3.9,0,0,0,6.52,0,2.2,0,18.02,FA,7,0
99,"Montgomery, Ty NOS RB",29.1,2.079,1.3,0.98,0,9.12,0,0,0.5,1.14,0,0.3,0,9.46,5.94,0,0,0,-0.3,0.66,FA,6,0
100,"Peterson, Adrian FA RB",28.88,7.22,0,0,0,0,0,0,0,0,10.4,3.24,8.54,0,6.7,0,0,0,0,0,Gunslingers,9,61
101,"Igwebuike, Godwin DET RB",28.7,1.688,0,0,0,0,0,0,0,10,0,11.8,-0.14,1.2,3.58,1.3,0.96,0,0,0,FA,9,0
102,"Ingold, Alec LVR RB",27,3,5.52,0,8.86,0,0,0,5.34,0,5.98,1.3,0,0,0,0,0,0,0,0,FA,8,0
103,"Jones, Tony NOS RB",26.74,2.431,7.08,1,4,1.12,0,0,0,0,0,0,0.5,4.3,0,5.14,0,0.8,-0.1,2.9,FA,6,0
104,"Jefferson, Jermar DET RB",26.58,3.797,0,0,0,0,0,0,0,12.48,0,10.4,0,0,2.3,0,1.4,0,0,0,FA,9,0
105,"Brown, Malcolm MIA RB",24.9,3.557,2.1,2.6,9.8,4.24,0,4.52,1.64,0,0,0,0,0,0,0,0,0,0,0,FA,14,18
106,"Williams, Jonathan WAS RB",24.08,4.816,0,0,0,0,0,0,0,0,0,0,0,0,0,11.54,0.6,2.02,2.72,7.2,FA,9,0
107,"Richard, Jalen LVR RB",22.42,2.242,0,0,0,0,1.14,1.08,5.42,0,3.88,0.98,0,0,0,0,0,1.8,4.04,4.08,FA,8,0
108,"Walter, Austin NYJ RB",21.14,5.285,0,0,0,0,0,0,0,0,0,0,0,10.7,2.74,0,1.4,0,6.3,0,FA,6,0
109,"Ricard, Patrick BAL RB",20.68,1.591,3.4,0.3,0,1.14,0,0,0,0,13.1,0,0.3,0.5,1.94,0,0,0,0,0,FA,8,0
110,"Ollison, Qadree ATL RB",20.52,2.565,0,0,0,0,0,0,0,0,0,0,5.3,0,2.68,0.8,1.54,0,2.2,8,FA,6,0
111,"Kelley, Joshua LAC RB",20.08,2.008,0,0,0,0,1.9,1.1,0,0,2.04,0.7,0,4,0,5.6,0.8,3.94,0,0,FA,7,0
112,"Taylor, J.J. NEP RB",18.88,3.776,0,0.5,1.78,-1.4,0,0,16.3,0,0,1.7,0,0,0,0,0,0,0,0,FA,14,1
113,"Taylor, Patrick GBP RB",18.68,2.076,0,0,0,0,0,0,0,0,0,0.9,1.5,0,0,0,0,0,2.4,13.88,FA,13,0
114,"Rountree, Larry LAC RB",18.64,1.434,3.5,0.34,0.7,4.2,0,0,0,1.5,0.2,7.5,0.7,0,0,0,0,0,0,0,FA,7,0
115,"Smith, Keith ATL RB",17.46,1.027,5.88,0.5,0,0.3,0,0,1.46,0,0,0.6,3.36,3.56,0.82,0,0,0,0,0.98,FA,6,0
116,"Gallman, Wayne MIN RB",17.06,1.706,0,0,0,3.5,0.3,0,0.3,0,0,10.86,-0.2,2.3,0,0,0,0,0,0,FA,7,0
117,"Snell, Benny PIT RB",16.48,0.969,0,0.3,0,0.1,2.5,0,0,1.62,0.8,0.5,0.9,0.7,1.5,-0.1,0,3.96,0.3,3.4,FA,7,85
118,"Burton, Michael KCC RB",15.86,0.991,0.3,2.26,0,0.6,0.3,0,0,0,0,0,0,0,0.4,0.4,11,0.3,0.3,0,FA,12,0
119,"Mack, Marlon IND RB",15.18,2.53,0,2.1,0,3.86,6.82,1.7,0.7,0,0,0,0,0,0,0,0,0,0,0,FA,14,0
