Rank,Player,Pts,Avg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Status,Bye,Salary
67,"Peterman, Nathan FA QB",0.4,0.4,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,8,0
68,"Benkert, Kurt GBP QB",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,FA,13,0
69,"Daniel, Chase LAC QB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rockies - TS,7,11
70,"Driskel, Jeff HOU QB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,10,0
71,"Woodside, Logan TEN QB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,13,0
72,"Webb, Davis NYG QB",-0.1,-0.1,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,FA,7,0
73,"Mond, Kellen MIN QB",-0.15,-0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15,0,FA,7,0
74,"Rypien, Brett DEN QB",-0.8,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,0,FA,11,0
75,"Franks, Feleipe ATL QB",-1.5,-0.15,0,0,0,0.4,0,0,0,0,0.5,0,-2.4,0,0,0,0,0,0,0,FA,6,0
76,"Eason, Jacob SEA QB",-1.95,-1.95,0,-1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FA,14,0
77,"Walker, P.J. CAR QB",-2.18,-0.363,0,0,0,0,0,0,-4.99,-0.4,0,3.35,0,-4.89,0,4.75,0,0,0,0,Spawners - TS,13,0
78,"Blough, David DET QB",-2.54,-2.54,0,0,0,0,0,0,0,-2.54,0,0,0,0,0,0,0,0,0,0,FA,9,0
79,"Fitzpatrick, Ryan WAS QB",-3.33,-3.33,-3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spawners - IR,9,0
80,"Streveler, Chris FA QB",-3.58,-1.79,0,0,0,0,0,0,0,0,0.3,-3.88,0,0,0,0,0,0,0,0,FA,12,0
81,"Wolford, John LAR QB",-4.17,-1.39,0,0,0,0,0,-2.7,0,-1.47,0,0,0,0,0,0,0,0,0,0,FA,11,0
82,"Glennon, Mike NYG QB",-5.92,-0.987,0,0,0,0,3.7,0,0,0,0,0,0,0,-5.17,14.35,-5.35,1.95,-15.4,0,FA,10,0
83,"Rosen, Josh ATL QB",-10.65,-2.662,0,-0.8,0,0,0,0,0,0,0,-3.3,-6.55,0,0,0,0,0,0,0,FA,6,0
84,"Fromm, Jake NYG QB",-10.72,-3.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,-8.05,0,-3.25,FA,10,0
85,"Book, Ian NOS QB",-13.71,-13.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.71,0,0,FA,6
